Entity,Code,Year,Nitrogen oxide (NOx),Sulphur dioxide (SO₂) emissions,Carbon monoxide (CO) emissions,Organic carbon (OC) emissions,Non-methane volatile organic compounds emissions,Black carbon (BC) emissions,Ammonia (NH₃) emissions
Africa,,1750,17671.812,7693.8726,3283140,174831.5,420443.03,47376.312,294775.34
Africa,,1760,17750.662,7700.5747,3288960.8,175004.75,420842.38,47419.586,295370.38
Africa,,1770,17836.184,7709.657,3295845.2,175232.31,421382.25,47477.63,296091.75
Africa,,1780,17928.623,7721.0396,3303775.8,175512.27,422058.16,47549.906,296939.34
Africa,,1790,18028.533,7734.839,3312819.8,175845.3,422879.56,47636.79,297921.56
Africa,,1800,18786.08,7864.75,3433956.5,178538.19,448922.3,48162.27,309254.3
Africa,,1801,18840.29,7863.2446,3433736.2,178541.84,448809.34,48159.016,309671.5
Africa,,1802,18898.78,7865.0947,3434931,178586.44,448936.97,48170.516,310226
Africa,,1803,18957.342,7866.94,3436122.8,178630.9,449064.38,48181.984,310781.12
Africa,,1804,19015.98,7868.781,3437311.8,178675.25,449191.53,48193.426,311336.94
Africa,,1805,19074.691,7870.6167,3438498,178719.5,449318.44,48204.836,311893.38
Africa,,1806,19133.479,7872.4478,3439681.5,178763.62,449445.1,48216.215,312450.47
Africa,,1807,19191.564,7874.274,3440862,178807.64,449571.5,48227.566,313001.16
Africa,,1808,19250.498,7876.0957,3442039.8,178851.55,449697.62,48238.883,313559.53
Africa,,1809,19309.508,7877.9126,3443214.8,178895.34,449823.53,48250.17,314118.56
Africa,,1810,19373.541,7883.623,3446032.8,178986.48,450229.34,48278.56,314839.44
Africa,,1811,19450.152,7892.3037,3450569.2,179223.61,450680.84,48337.812,315591.44
Africa,,1812,19531.873,7904.8647,3456742.2,179507.8,451411.56,48414.08,316506
Africa,,1813,19613.754,7917.408,3462906,179791.58,452141.34,48490.234,317421.9
Africa,,1814,19695.795,7929.9346,3469060.2,180074.94,452870.22,48566.277,318339.22
Africa,,1815,19777.994,7942.4434,3475205.5,180357.89,453598.16,48642.21,319257.94
Africa,,1816,19859.568,7954.934,3481341.2,180640.44,454325.16,48718.03,320170.84
Africa,,1817,19942.088,7967.4077,3487467.5,180922.56,455051.25,48793.742,321092.28
Africa,,1818,20024.766,7979.864,3493584.8,181204.28,455776.38,48869.34,322015.1
Africa,,1819,20107.602,7992.3022,3499692.5,181485.6,456500.6,48944.824,322939.3
Africa,,1820,20196.291,8009.1294,3507652.2,181820.02,457541.28,49039.54,324050.22
Africa,,1821,20308.373,8040.138,3523128.8,182594.81,459242.9,49241.94,325446.9
Africa,,1822,20426.445,8075.519,3540448.5,183422.34,461260.12,49463.465,327031.72
Africa,,1823,20544.816,8110.8657,3557749.5,184249.08,463275.53,49684.77,328619.25
Africa,,1824,20663.484,8146.178,3575032.5,185075,465289.12,49905.86,330209.56
Africa,,1825,20782.451,8181.457,3592297,185900.11,467300.9,50126.734,331802.62
Africa,,1826,20900.91,8216.701,3609543.2,186724.42,469310.9,50347.387,333391.1
Africa,,1827,21020.473,8251.912,3626771.2,187547.92,471319.1,50567.824,334989.66
Africa,,1828,21140.332,8287.089,3643981,188370.62,473325.47,50788.047,336590.97
Africa,,1829,21260.49,8322.231,3661172.2,189192.53,475330.03,51008.047,338195.06
Africa,,1830,21387.254,8362.127,3680368.5,190071.7,477678.4,51248.832,340006.88
Africa,,1831,21539.527,8397.774,3697749.5,190961.1,479644.12,51481.37,341799.94
Africa,,1832,21698.623,8438.168,3717131.5,191907.6,481953.28,51734.645,343802.44
Africa,,1833,21858.238,8478.52,3736491.5,192853.12,484260.22,51987.652,345809.34
Africa,,1834,22018.371,8518.83,3755829.5,193797.66,486565,52240.4,347820.66
Africa,,1835,22179.02,8559.1,3775145.2,194741.22,488867.53,52492.88,349836.44
Africa,,1836,22339.344,8599.327,3794439,195683.81,491167.9,52745.094,351848.9
Africa,,1837,22501.023,8639.514,3813710.8,196625.4,493466.1,52997.047,353873.47
Africa,,1838,22663.223,8679.659,3832960.5,197566.03,495762.06,53248.734,355902.47
Africa,,1839,22825.938,8719.763,3852188,198505.69,498055.84,53500.156,357935.9
Africa,,1840,22996.586,8765.357,3873732.8,199511.34,500747.9,53775.56,360215
Africa,,1841,23155.822,8873.253,3891284,200414.88,502714.53,54011.004,362057.6
